"Product","Special features"
"Apabi Reader , URL: /w/index.php?title=Apabi_Reader&action=edit&redlink=1
","Support for the CEBX ebook format VGA output support"
"Blio , URL: /wiki/Blio
","Support for the visually impaired"
"Bluefire Reader , URL: /wiki/Bluefire_Reader
","Optional PDF password protection Localized in English, French, German, Norwegian, Icelandic, Italian, Portuguese, Romanian, Danish Support for Chinese, Japanese, and Korean language epub3 format including Vertical writing mode and R2L page order Supports multiple concurrent Adobe user account activations, both Adobe ID and Vendor ID accounts Export notes and highlights to email Collections Feature for organizing user Library"
"BookFusion , URL: /w/index.php?title=BookFusion&action=edit&redlink=1
","Support for both LTR and RTL reading Full customization for eReader text, link, and background colors Custom bookshelves for grouping and displaying eBooks Social features for adding friends and borrowing/lending eBoooks"
"DL Reader , URL: /w/index.php?title=DL_Reader&action=edit&redlink=1
","Optional PDF password protection Localized in Japanese, English, German, French, Russian, Vietnamese, Hebrew, Arabic, Spanish, Portuguese, Dutch, Thai, Traditional Chinese, Simplified Chinese"
"eBookMobi , URL: /w/index.php?title=EBookMobi&action=edit&redlink=1
","Optional password protection Displays Microsoft Office documents Adjust screen brightness via swipe Localized in Japanese, English, German, French, Russian, Vietnamese Supports custom Stardict Dictionaries Supports online translation to 105 languages"
"Ebook Reader , URL: /w/index.php?title=Ebook_Reader&action=edit&redlink=1
","Full Epub3 support for in-book audio and video. Online sync of all bookmarks, highlights, notes and reading position. Import DRM free PDF and Epub files. User created collections for organizing books."
"i2Reader , URL: /w/index.php?title=I2Reader&action=edit&redlink=1
","Configurable status line Custom PDF engine"
"Apple Books , URL: /wiki/Apple_Books
","Apple Books can read text aloud to the user."
"Kindle , URL: /wiki/Amazon_Kindle#Kindle_applications
","Ebooks can be emailed to an auto-generated Amazon email address"
"Kobo Reading App , URL: /wiki/Kobo_eReader
","Strictly enforces registration with Kobo Support for magazine subscriptions. Extensive social media support via Facebook. Reading statistics and achievements."
"KyBook","Localized in Russian, English Supports online translation via Yandex.Translate Allows loading user fonts Extensive options for library sorting Changing book covers via Google Image Search Supports use of Tor Network"
"KyBook 2","Localized in English, Russian, German, Greek Supports online translation via Yandex, Microsoft and Auto translation Text to Speech technology Allows loading user fonts Extensive options for library sorting Changing book covers via Google Image Searchand other sources Supports Audio Books (mp3, m4a, m4b), comic books (cbr, cbz, cbt), Amazon format (awz) and archives (zip, rar, tar) Supports use of Tor Network"
"Marvin","Optional password protection. Customizable page warmth and tint. "Deep View" automatically creates name lists, summaries, adds references to (Wikipedia) articles and pins web pages, reviews, etc... to the book. Specialized font to assist users with Dyslexia. Integration and annotation syncing with Calibre. Global & book-specific vocabulary. Export notes, highlights, vocabulary & other user modifications to XHTML and CSV files. Reading timer."
"MegaReader , URL: /w/index.php?title=MegaReader&action=edit&redlink=1
","Configurable tap zones (next/previous page, show menus, rotation lock, toggle heads up display) Optionally uses the rear camera for "look-through" reading."
"PocketBook reader , URL: /w/index.php?title=PocketBook_reader&action=edit&redlink=1
","Export book info, notes, highlights to mail, sms, Facebook, Twitter. Localization in English and Russian. Single page, dual page or scroll viewing modes. Crop page margins manually or automatically to fit page content to the screen size. Allows zoom in or out a page via pinch and stretch gestures. Allows zoom to a particular text fragment via double touch. Adjust font size via pinch and stretch gestures (epub, fb2, txt)."
"ShuBook 2 , URL: /w/index.php?title=ShuBook_2&action=edit&redlink=1
","Basic support for Microsoft Office documents (DOC, XLS, PPT) & RTF. Extensive East Asian support"
"SideBooks , URL: /w/index.php?title=SideBooks&action=edit&redlink=1
","Optional password protection Single page, dual page or scroll viewing modes. Choose from opening left to right / right to left / vertically for comics or manga. Choose the pair of facing pages by setting the cover to on or off Supports comic books (cbr, cbz), and archives (zip, rar) Localized in English, Japanese, Korean, Simplified Chinese, Traditional Chinese"
"Stanza , URL: /wiki/Lexcycle_Stanza
","Cover Flow[f 1] Extensive options for library sorting Customizable background picture & transparency settings Has some stability problems on iOS >= 5.0 Stanza is not being updated any more"
"uBooks XL , URL: /w/index.php?title=UBooks_XL&action=edit&redlink=1
","Displays Microsoft Office documents Customizable background Extensive options for library sorting"
"iBouquiniste , URL: /w/index.php?title=IBouquiniste&action=edit&redlink=1
",""
"Product","Special features"
