"Resort name","Nearest city","Peak elevation (ft)","Base elevation (ft)","Vertical drop","Skiable acreage","Total trails","Total lifts","Avg annual snowfall","Adult single day lift ticket price","Date statistics updated"
"Squaw Valley USA , URL: /wiki/Palisades_Tahoe_Ski_Resort
","Olympic Valley , URL: /wiki/Squaw_Valley,_Placer_County,_California
","9,050","6,200","2,850","3,600","170","29","450"","$89+ Online, $169+ at Window","March 2020[1]"
"Mammoth Mountain , URL: /wiki/Mammoth_Mountain_Ski_Area
","Mammoth Lakes , URL: /wiki/Mammoth_Lakes,_CA
","11,053","7,953","3,100","3,500","150","25","400"","$79+ Online, $99+ at Window","March 2020[2]"
"Heavenly Mountain Resort , URL: /wiki/Heavenly_Mountain_Resort
","South Lake Tahoe , URL: /wiki/South_Lake_Tahoe,_California
","10,040","6,567","3,500","4,800","97","28","360"","$131+ Online, $164+ at Window","March 2020[3]"
"Mount Shasta Ski Park , URL: /wiki/Mount_Shasta_Ski_Park
","Mount Shasta , URL: /wiki/Mount_Shasta,_CA
","6,866","5,476","1,435","425","32","5","275"","$49+","March 2020[4]"
"Alpine Meadows , URL: /wiki/Alpine_Meadows_(ski_resort)
","Alpine Meadows , URL: /wiki/Alpine_Meadows,_California
","8,637","6,835","1,802","2,400","100","13","450"","$89+ Online, $169+ at Window","March 2020[5]"
"Boreal , URL: /wiki/Boreal_Mountain_Resort
","Soda Springs , URL: /wiki/Soda_Springs,_Nevada_County,_California
","7,700","7,200","500","380","41","8","400"","$52 weekday, $58 holiday","November 19, 2012"
"Donner Ski Ranch , URL: /wiki/Donner_Ski_Ranch
","Norden , URL: /wiki/Norden,_California
","7,781","7,031","750","435","52","8","400"","$45","April 20, 2012"
"Homewood , URL: /wiki/Homewood_Mountain_Resort
","Homewood , URL: /wiki/Homewood,_CA
","7,881","6,223","1,658","1,260","60","7","400"","$57","April 20, 2012"
"Kirkwood , URL: /wiki/Kirkwood_Mountain_Resort
","Kirkwood , URL: /wiki/Kirkwood,_CA
","9,800","7,800","2,000","2,300","65","15","500"","$79","April 20, 2012"
"Northstar at Tahoe , URL: /wiki/Northstar_at_Tahoe
","Truckee , URL: /wiki/Truckee,_CA
","8,610","6,330","2,280","2,904","100","19","350"","$72 November 14–20","November 19, 2012"
"Sierra-at-Tahoe , URL: /wiki/Sierra-at-Tahoe
","Twin Bridges , URL: /wiki/Twin_Bridges,_CA
","8,852","6,640","2,212","2,000","46","12","480"","$77","April 20, 2012"
"Sugar Bowl , URL: /wiki/Sugar_Bowl_Ski_Resort
","Norden , URL: /wiki/Norden,_California
","8,383","6,883","1,500","1,500","94","13","500"","$80 daily and $85 holidays","November 19, 2012"
"Soda Springs , URL: /w/index.php?title=Soda_Springs_Mountain_Resort&action=edit&redlink=1
","Soda Springs , URL: /wiki/Soda_Springs,_Nevada_County,_California
","7,325","6,673","652","200","15","2","400"","$36","April 20, 2012"
"Tahoe Donner , URL: /wiki/Tahoe_Donner_Downhill_Ski_Area
","Truckee , URL: /wiki/Truckee,_CA
","7,350","6,750","600","120","10","3","400"","$41","April 20, 2012"
"Bear Valley , URL: /wiki/Bear_Valley_(resort)
","Angels Camp , URL: /wiki/Angels_Camp,_CA
","8,500","6,600 (mid-mountain 7550)","1,900","1,680","67","10","359"","$74 peak, $69 off peak","Oct 1, 2015"
"Dodge Ridge , URL: /wiki/Dodge_Ridge_Ski_Area
","Sonora , URL: /wiki/Sonora,_CA
","8,200","6,600","1,600","832","62","12","300"","","April 20, 2012"
"June Mountain , URL: /wiki/June_Mountain
","June Lake , URL: /wiki/June_Lake,_California
","10,090","7,545","2,590","500","35","7","250"","","April 20, 2012"
"China Peak , URL: /wiki/Sierra_Summit
","Lakeshore , URL: /wiki/Lakeshore,_Fresno_County,_California
","8,709","7,030","1,673","1,200","45","11","300"","","April 20, 2012"
"Alta Sierra , URL: /w/index.php?title=Alta_Sierra_Ski_Resort&action=edit&redlink=1
","Wofford Heights , URL: /wiki/Wofford_Heights,_California
","7,091","6,491","600","","6","2","","","April 20, 2012"
"Buckhorn Ski and Snowboard Club , URL: /wiki/Buckhorn_Ski_and_Snowboard_Club
","Three Points , URL: /wiki/Three_Points,_California
","7,903","7,203","680","40","5","2","180"","","April 20, 2012"
"Bear Mountain , URL: /wiki/Bear_Mountain_(ski_area)
","Big Bear Lake , URL: /wiki/Big_Bear_Lake,_CA
","8,805","7,104","1,665","198","24","12","100"","$59 weekday, $72 holiday and peak weekends","November 14, 2012"
"Badger Pass , URL: /wiki/Badger_Pass_Ski_Area
","Yosemite National Park , URL: /wiki/Yosemite_National_Park
","8,000","7,200","800","90","10","5","300"","$42","April 20, 2012"
