"Concept or term","Cricket","Baseball"
"each team's batting turn","an innings (either singular or plural)","a half-inning or side; innings is a plural term – but most commonly, one batting turn is called either the "top" or the "bottom" of an inning, depending on which team bats first or second"
"player who delivers the ball to start play","bowls , URL: /wiki/Bowling_(cricket)
","a pitcher, who pitches"
"player who strikes at the ball","Big Bash League , URL: /wiki/Big_Bash_League
","hit batsman , URL: /wiki/Hit_by_pitch
"
"distance between above two players","22 yards (66 feet) or 20.1 metres (approx. 58 ft or 17.7 m between the bowler and batsman at delivery)","60 feet 6 inches or 18.4 m (approx. 58 ft or 17.7 m between pitcher and batter at delivery)"
"fielder behind the player batting","wicket-keeper (or "keeper" for short)","catcher"
"batting order","flexible","predetermined"
"player's batting turn","nonstriker , URL: /wiki/Nonstriker
","plate appearance, at-bat, ups (only applies to when batter is facing the pitcher; baserunners are said to be "on base"[206])"
"batting stance","(a.k.a. guard) bat held vertically, with the handle upwards, and the bottom edge on the ground","bat held cocked in the air behind the head"
"hitting the ball","shot or stroke (The batsman need not run)","hit – also shot, stroke, knock, etc. (The batter must run if the ball is hit into fair territory)"
"carrying bat after striking","batsman carries bat while running and uses it as an extension of his body","batter drops bat after hitting and while running"
"edge of the field","boundary: lines, ropes, fences, other objects, no physical marker (Law 19)","fence, wall"
"scoring over the boundary or fence","six runs , URL: /wiki/Six_(cricket)
four runs , URL: /wiki/Four_(cricket)
","home run if on the fly (and fair) – one, two, three, or four runs depending on the number of runners on base; automatic double ("ground-rule double") if on the bounce from fair territory – batter and any runners on base may advance only two bases; thus, only a maximum of two runs may be scored"
"Hits inside the field result in...","as many runs as the batsmen can complete. Normally between zero and three, but there is theoretically no upper limit in unusual circumstances such as misfields, overthrows or lost balls. If the ball strikes a piece of the fielding team's discarded equipment such as hats, helmets etc., an automatic five run penalty is awarded against the fielding side to the striking batsman.","runners advancing, with possibility of one or more runners reaching home for a run."
"batsman scoring no runs in an innings","duck , URL: /wiki/Duck_(cricket)
","struck out (common even for a skilled batter), "left stranded" (which occurs when a batter hits the ball and gets on base, but the team gets all out before he is able to score a run – something which doesn't happen in cricket except in the case of a tail end batsman being left "not out" before he faces a ball)"
"hitting the ball in a specific area","placement","place hitting"
"hitting the ball high into the air, liable to being caught","skyer (or skier), spooning it up, "scooping the ball", "flier"","fly ball, pop fly, popup, "skying it""
"catching the ball in flight","catch","fly out or catch (see in flight)"
"an easy catch","sitter","can of corn"
"an incredible catch","screamer","circus catch"
"dismissing a batsman/batter","a wicket","an out"
"dismissal types","bowled, caught, leg before wicket, run out, stumped, hit wicket—or, very rarely: hit the ball twice, obstructing the field or timed out","tag out, fly out, force out, strike out, interference (similar to obstructing the field in cricket, but more common)"
"dismissal procedure","appeal , URL: /wiki/Appeal_(cricket)
Law 31 , URL: /wiki/Laws_of_cricket
","appeal play , URL: /wiki/Appeal_play
"
"curving deliveries","leg break, off break, googly, doosra, leg cutter and off cutter change direction after bouncing. Often these will also drift while in the air. Topspinners dip downwards and bounce higher, arm-ball and flipper fly flatter and skid on. The away swing or outswinger curves away from batter in the air, the in swing or inswinger curves toward batter. Seam deliveries will also sometimes turn on the bounce.","sinker , URL: /wiki/Sinker_(baseball)
splitter , URL: /wiki/Split-finger_fastball
forkball , URL: /wiki/Forkball
12–6 curveball , URL: /wiki/12%E2%80%936_curveball
circle change , URL: /wiki/Circle_change
knuckleball , URL: /wiki/Knuckleball
"
"a delivery not in a good hitting zone","wide (and a penalty run can be awarded if the batsman is unable to reach the ball in his normal batting stance)","ball"
"the area within which the ball can be delivered to dismiss the batter","wickets , URL: /wiki/Wickets
","strike zone , URL: /wiki/Strike_zone
"
"fielding miscue","misfield","error"
"central/inner playing arena","pitch, deck or strip , URL: /wiki/Cricket_pitch
","infield or diamond"
"sides of the field","Assuming a right-handed batsman, the "Off side" is the side to his right, while the side to his left is called the "Leg side" (as that is the side closest to the batsman's legs) or sometimes the "On side". Reverse for a left-handed batsman.","batter's boxes , URL: /wiki/Batter%27s_box
"
"substitution","Law 2 , URL: /wiki/Laws_of_Cricket
","Little League , URL: /wiki/Little_League
designated hitter , URL: /wiki/Designated_hitter
"
"delivery toward the head","beamer , URL: /wiki/Beamer_(cricket)
","beanball , URL: /wiki/Beanball
"
"batter(s) who bat first in batting order","opener (cricket) , URL: /wiki/Opener_(cricket)
","leadoff hitter , URL: /wiki/Leadoff_hitter
"
"pitcher/bowler who throws towards the end of the opponent's inning","death bowler , URL: /wiki/Death_bowler
","reliever , URL: /wiki/Reliever
closer (baseball) , URL: /wiki/Closer_(baseball)
"
"the winning runs","winning runs","walk-off run(s) , URL: /wiki/Walk-off_home_run
"
"hitting a ball for a home run or six",""deposited it into the stands"",""deposited it into the stands""
"the pitcher getting a runner out before delivering the ball","Mankad (dismissal) , URL: /wiki/Mankad_(dismissal)
","pickoff , URL: /wiki/Pickoff
"
